name,type,nickname,isu_link,yeb,sum
Anna SHCHERBAKOVA,LS,anna__shcherbakova_,https://www.isuresults.com/bios/isufs00103103.htm,,
Alina ZAGITOVA,LS,azagitova,https://www.isuresults.com/bios/isufs00101053.htm,,
Evgenia MEDVEDEVA,LS,jmedvedevaj,https://www.isuresults.com/bios/isufs00014068.htm,,
Alexandra TRUSOVA,LS,avtrusova,https://www.isuresults.com/bios/isufs00102760.htm,,
Adeliia PETROSIAN,LS,adeliya_petrosian,https://www.isuresults.com/bios/isufs00111203.htm,,
Elizaveta TUKTAMYSHEVA,LS,liza_tuktik,https://www.isuresults.com/bios/isufs00010705.htm,,
Wakaba HIGUCHI,LS,wakababy_sk8r,https://www.isuresults.com/bios/isufs00014149.htm,,
Alysa LIU,LS,alysaxliu,https://www.isuresults.com/bios/isufs00103196.htm,,
Amber GLENN,LS,amberglenniceskater,https://www.isuresults.com/bios/isufs00034367.htm,,
Loena HENDRICKX,LS,loenahendrickx,https://www.isuresults.com/bios/isufs00014747.htm,,
Isabeau LEVITO,LS,isabeau.levito,https://www.isuresults.com/bios/isufs00111287.htm,,
Ekaterina KURAKOVA,LS,ekaterina_kurakova,https://www.isuresults.com/bios/isufs00035439.htm,,
Sofia SAMODELKINA,LS,sofyasamodelkina,https://www.isuresults.com/bios/isufs00111213.htm,,
Kamila VALIEVA,LS,kamilavalieva26,https://www.isuresults.com/bios/isufs00107871.htm,,
Nina PINZARRONE,LS,pinzarrone_nina,https://www.isuresults.com/bios/isufs00110455.htm,,
Rika KIHIRA,LS,rikaskate0721,https://www.isuresults.com/bios/isufs00054891.htm,,
Yuna KIM,LS,yunakim,https://www.isuresults.com/bios/isufs00007232.htm,TRUE,10574
Anastasiia GUBANOVA,LS,nastya_gubanchik,https://www.isuresults.com/bios/isufs00101198.htm,,
Chaeyeon KIM,LS,_chaeyeon.kim,https://www.isuresults.com/bios/isufs00111162.htm,,
Kaetlyn OSMOND,LS,kaetkiss,https://www.isuresults.com/bios/isufs00012655.htm,TRUE,3252
Carolina KOSTNER,LS,mskostner,https://www.isuresults.com/bios/isufs00004864.htm,TRUE,16085
Sofia MURAVIEVA,LS,sofia_muraveva_,https://www.isuresults.com/bios/isufs00111172.htm,,
Elizaveta NUGUMANOVA,LS,liza_nugumanova_,https://www.isuresults.com/bios/isufs00035454.htm,,
Haein LEE,LS,happy_haein05,https://www.isuresults.com/bios/isufs00104786.htm,,
Kiira KORPI,LS,kiira_korpi,https://www.isuresults.com/bios/isufs00006625.htm,TRUE,1896
Niina PETROKINA,LS,petrykinaniina,https://www.isuresults.com/bios/isufs00104482.htm,,
Anastasia MISHINA,Pairs,nastia_ice,https://www.isuresults.com/bios/isufs00103135.htm,,
Aleksandr GALLIAMOV,Pairs,a_gallyam,https://www.isuresults.com/bios/isufs00103135.htm,,
Aleksandra BOIKOVA,Pairs,aleksandraboikova,https://www.isuresults.com/bios/isufs00101158.htm,,
Dmitrii KOZLOVSKII,Pairs,dimakozlovski,https://www.isuresults.com/bios/isufs00101158.htm,,
Evgenia TARASOVA,Pairs,_tarasova_evg,https://www.isuresults.com/bios/isufs00054323.htm,,
Vladimir MOROZOV,Pairs,morozov_v92,https://www.isuresults.com/bios/isufs00054323.htm,,
